LAT,LONG,accX,accY,accZ,gyroX,gyroY,gyroZ,Speed,Timestamp In mills,Timestamp In Date
null,null,-0.15634036,-0.034597397,-0.012732506,0.09063721,0.019714355,0.007736206,null,1544974108380,16-Dec-2018
null,null,-0.02285242,-0.14536,0.31971073,-0.23956299,-0.09729004,-0.016433716,null,1544974108544,16-Dec-2018
null,null,0.07022631,-0.08721542,0.1813438,-0.07481384,-0.045913696,0.0030670166,null,1544974108749,16-Dec-2018
null,null,-0.20780587,-0.36957932,0.12948275,-0.75691223,-0.17411804,-0.0022277832,null,1544974108952,16-Dec-2018
null,null,0.8402494,-2.0738478,2.5169368,-1.7297821,-0.5910492,0.1461792,null,1544974109142,16-Dec-2018
null,null,0.46450746,-1.2292342,1.1383624,-0.24440002,-0.0040283203,-0.035568237,null,1544974109344,16-Dec-2018
null,null,-0.08452809,-0.48464918,0.7622042,0.23124695,-0.011352539,0.007675171,null,1544974109546,16-Dec-2018
null,null,0.14217472,0.09210253,0.2603507,0.096969604,-0.10177612,0.00390625,null,1544974109744,16-Dec-2018
null,null,5.4361186,0.44662046,3.9230738,1.2409058,-1.5663452,-0.15446472,null,1544974109940,16-Dec-2018
null,null,-6.2429295,-2.8566203,-2.7644029,3.2792053,-3.3925323,-4.536087,null,1544974110150,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.6712189,0.32250977,-0.39285278,null,1544974121650,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.3942871,1.3496857,0.36949158,null,1544974121663,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.046142578,0.09567261,-0.19566345,null,1544974121675,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.031845093,-0.17753601,-0.12571716,null,1544974121685,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.014770508,-0.15553284,-0.07305908,null,1544974121695,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.064941406,-0.15957642,-0.082351685,null,1544974121704,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.008682251,-0.10108948,-0.0072784424,null,1544974121711,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.028259277,-0.11029053,0.0013122559,null,1544974121719,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.5363922,0.94766235,0.093566895,null,1544974121726,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.26387024,0.45855713,-0.08337402,null,1544974121733,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.27191162,0.19595337,0.0064849854,null,1544974121740,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.020507812,-0.02468872,0.095199585,null,1544974121747,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.008392334,-0.08778381,-0.03289795,null,1544974121754,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.24880981,-0.28167725,-0.036239624,null,1544974121761,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.3453369,-0.6051483,-0.17869568,null,1544974121767,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.19352722,-0.46653748,-0.018295288,null,1544974121774,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.085235596,0.02243042,0.040267944,null,1544974121781,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.0692749,0.0101623535,0.034988403,null,1544974121787,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.02456665,-0.10762024,-0.020996094,null,1544974121793,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.09049988,0.02229309,0.05557251,null,1544974121798,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.030380249,-0.052612305,-0.0076904297,null,1544974121805,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.06552124,0.01651001,0.016952515,null,1544974121810,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.025497437,0.04045105,0.058120728,null,1544974121816,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.026779175,0.022872925,0.043930054,null,1544974121822,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.095703125,0.07060242,0.041534424,null,1544974121828,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.049346924,0.038497925,0.05279541,null,1544974121835,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.08268738,0.1769104,0.10017395,null,1544974121841,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.4396057,1.1476898,0.35073853,null,1544974121848,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.30174255,0.80093384,0.1678009,null,1544974121855,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.097732544,0.18452454,0.19873047,null,1544974121861,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.10455322,0.11984253,0.1356659,null,1544974121866,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.016662598,-0.046936035,-0.024536133,null,1544974121871,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.03390503,-0.05065918,0.024749756,null,1544974121877,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.013061523,-0.06846619,-0.027572632,null,1544974121882,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.032577515,-0.061065674,0.02909851,null,1544974121887,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.005874634,-0.014465332,-0.01637268,null,1544974121892,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.004547119,-0.035125732,0.004699707,null,1544974121897,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.006134033,-0.039627075,-6.4086914E-4,null,1544974121903,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-7.9345703E-4,-0.053497314,0.0016021729,null,1544974121907,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.6359558,-1.599762,-0.84291077,null,1544974121912,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,1.0974121,-2.4039154,-1.2684479,null,1544974121916,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.43373108,-0.6424713,-0.05114746,null,1544974121921,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.23564148,0.1747284,0.05393982,null,1544974121926,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.091308594,-0.31878662,-0.069488525,null,1544974121931,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.28701782,-0.2625885,-0.12852478,null,1544974121936,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.044921875,0.029968262,0.026535034,null,1544974121940,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.17823792,-0.600296,-0.10345459,null,1544974121946,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.4176178,-0.2853546,-0.10839844,null,1544974121951,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.1159668,-0.06504822,-0.0045776367,null,1544974121955,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.34750366,0.23327637,0.2190094,null,1544974121960,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.13058472,0.1819458,-0.008605957,null,1544974121964,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.07687378,0.11759949,0.14814758,null,1544974121969,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.27864075,0.76683044,0.25491333,null,1544974121974,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.027435303,0.7224884,0.26211548,null,1544974121979,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.041412354,-0.14846802,0.02017212,null,1544974121984,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.03137207,-0.24835205,-0.15750122,null,1544974121989,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.028518677,-0.06816101,-0.020477295,null,1544974121994,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,0.06341553,0.19892883,0.10462952,null,1544974121998,16-Dec-2018
null,null,-0.20168877,-0.05072689,-0.10515344,-0.19422913,-0.030776978,0.040405273,null,1544974122003,16-Dec-2018
null,null,0.35547638,0.3321967,-0.37918413,-0.14868164,0.4031372,0.23275757,null,1544974122103,16-Dec-2018
null,null,0.27025318,0.2788124,-0.1495378,-0.14561462,0.15461731,0.13926697,null,1544974122304,16-Dec-2018
null,null,0.18706608,0.20787525,-0.21377528,0.09390259,-0.014694214,0.053390503,null,1544974122512,16-Dec-2018
null,null,0.11935949,0.21267796,-0.015812397,-0.065338135,-0.0060577393,0.044952393,null,1544974122701,16-Dec-2018
null,null,0.1382637,0.1205616,0.03842306,-0.021697998,-0.043518066,0.03491211,null,1544974122904,16-Dec-2018
null,null,-0.018802643,0.13787937,-0.17890835,0.0655365,-0.11187744,-0.025039673,null,1544974123103,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.054367065,-0.03742981,0.014450073,null,1544974157473,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,7.9345703E-4,-0.046707153,0.0017242432,null,1544974157480,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.0103302,-0.02861023,0.0030822754,null,1544974157487,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.009796143,-0.021865845,0.008956909,null,1544974157493,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,0.0021362305,-0.044525146,-0.007385254,null,1544974157498,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.0038146973,-0.07551575,-0.01638794,null,1544974157504,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,0.0013275146,-0.051254272,-0.0048065186,null,1544974157509,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.008148193,-0.032592773,-2.1362305E-4,null,1544974157514,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.011505127,-0.034362793,0.010345459,null,1544974157519,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,0.004119873,-0.027755737,0.004776001,null,1544974157523,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,0.014678955,-0.014678955,0.01838684,null,1544974157528,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-3.9672852E-4,-0.028686523,0.002746582,null,1544974157533,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.0062713623,-0.015594482,0.005355835,null,1544974157537,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,0.0028686523,-0.018920898,0.004272461,null,1544974157542,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-2.593994E-4,-0.016189575,0.0019989014,null,1544974157547,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.0043029785,-0.03404236,0.002105713,null,1544974157551,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-5.493164E-4,0.005065918,0.026763916,null,1544974157556,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.012573242,-0.01121521,0.0045166016,null,1544974157561,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.00592041,-0.008255005,0.0053100586,null,1544974157566,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.0026245117,-0.020584106,0.010299683,null,1544974157570,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.013793945,-0.012939453,0.011505127,null,1544974157574,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.009994507,-0.018966675,0.009017944,null,1544974157579,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.01399231,-0.014678955,0.017028809,null,1544974157583,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,0.0015106201,-0.016143799,0.0060272217,null,1544974157587,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.005935669,-0.019210815,0.005218506,null,1544974157591,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.0017700195,-0.015899658,0.0016174316,null,1544974157595,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.0031280518,-0.01876831,7.7819824E-4,null,1544974157599,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,0.0025939941,-0.013946533,0.001876831,null,1544974157603,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-3.0517578E-5,-0.023773193,0.0047302246,null,1544974157606,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-7.019043E-4,-0.030853271,-0.0064086914,null,1544974157610,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.0027160645,-0.030654907,0.0018005371,null,1544974157614,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.009124756,-0.030227661,0.0045928955,null,1544974157618,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.0061035156,-0.01612854,0.010025024,null,1544974157622,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-8.087158E-4,-0.025299072,-6.4086914E-4,null,1544974157626,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,0.0016784668,-0.029251099,0.009414673,null,1544974157631,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.054260254,0.047607422,-0.0073547363,null,1544974157634,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.41549683,1.0604248,0.05996704,null,1544974157637,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.14445496,0.5655365,0.09057617,null,1544974157641,16-Dec-2018
null,null,-0.07469797,-0.034413338,-0.18942642,-0.030197144,-0.13102722,0.11303711,null,1544974157645,16-Dec-2018
